,gender,a,boy,enquiry,feeling,for,have,he,her,his,inquiry,money,of,say,see,seem,she,the,this,upon,whisper,wish
ABronte_Agnes,w,15.7153959071,0.2343740363,0,0.4070706946,7.8083560512,12.5081722526,8.3757879285,9.1282519398,5.2919190299,0.0740128536,0.0986838048,20.0081414139,3.922681239,2.948178667,0.8018059136,7.6850012952,30.4562892422,2.1340372778,1.4679215957,0.0863483292,0.8388123404
ABronte_Tenant,w,13.6812446405,0.1568050962,0,0.4900159255,8.1195638858,11.9269876271,11.2556658091,8.6242802891,8.4968761485,0.0931030258,0.1274041406,18.3412960921,4.6698517702,2.5774837682,0.6517211809,6.8406223202,29.0530442239,2.7587896607,1.7346563763,0.191106211,0.9065294622
Austen_Emma,w,16.1260631052,0.131491056,0,0.6574552799,6.8427945531,17.5093490141,9.193854634,12.7072956497,5.9591746569,0.110452487,0.0473367802,22.500749499,4.5075133989,2.3615793654,1.0729670168,11.855233607,27.0030032557,2.6876771842,0.8205041893,0.0578560646,1.1360827237
Austen_Mansfield,w,16.4852205159,0.1176369936,0,1.010608718,8.1918124652,17.1536125251,8.2078538735,16.4424434273,7.1544680669,0.0641656329,0.069512769,25.5593104333,3.5772340335,2.5559310433,0.8234589554,11.9615433974,33.1255079779,2.7056508534,0.7432519143,0.0481242247,1.2084527527
Austen_Northanger,w,16.7667695146,0.0549010135,0,0.6588121617,7.8837855347,14.9769964754,5.9293094551,17.0632349873,5.7536262119,0.1537228377,0.2086238512,26.0011199807,3.557585673,2.3387831739,0.9991984452,11.9574407344,34.6205790959,3.1513181733,0.9552776344,0.1537228377,1.1639014856
Austen_Persuasion,w,16.2716443571,0.2046747718,0.1432723403,0.9926726432,7.2250194441,20.1297638053,9.8346227844,12.311187523,6.7440337304,0.0204674772,0.1637398174,26.2904744361,2.8552130664,2.7938106349,1.2587498465,11.7073969463,34.0374145483,2.5584346473,0.7368291784,0.0921036473,1.1154775062
Austen_Pride,w,13.5026030792,0.0417606281,0,0.7516913054,7.2802694953,16.2379242184,9.2847796431,15.4235919708,8.8184526295,0.2296834544,0.1809627217,25.0633369526,4.2247835407,2.7144408252,0.7377710961,11.8460981653,30.0606921128,3.1042066873,0.522007851,0.0904813608,1.2667390518
Austen_Sense,w,14.5517589297,0.0568428083,0.0710535104,0.6181655405,8.7680031832,14.7720248119,7.6311470168,17.7775883018,7.1550884971,0.2202658822,0.177633776,25.4584727758,4.2347892198,2.7071387462,0.9876437945,11.0132941118,29.0111482958,3.0410902451,0.6963244019,0.0710535104,1.2008043257
Bennet_Babylon,w,20.3224642041,0.1082902178,0,0.1082902178,5.1016724823,14.8598243292,12.9827938876,4.151125015,6.6418000241,0.0962579714,0.4211286247,22.6928167489,7.6525087234,2.4184815305,0.8542894958,4.8730598003,46.2038262544,3.5134159548,0.3008061605,0.2045481891,0.5294188425
Bennet_Helen,w,20.5679035308,0.1549955051,0,0.1859946062,5.2698471744,16.4450230943,19.3744381413,8.307759075,8.5557518832,0.0619982021,0.5269847174,22.8463374562,7.4087851452,2.2319352739,0.7439784246,12.0741498497,39.8338448185,2.4954276326,0.4339874144,0.1394959546,0.2479928082
